Epoch,epoch,eval/Actions Max,eval/Actions Mean,eval/Actions Min,eval/Actions Std,eval/Average Returns,eval/Num Paths,eval/Returns Max,eval/Returns Mean,eval/Returns Min,eval/Returns Std,eval/Rewards Max,eval/Rewards Mean,eval/Rewards Min,eval/Rewards Std,eval/num paths total,eval/num steps total,eval/path length Max,eval/path length Mean,eval/path length Min,eval/path length Std,expl/Actions Max,expl/Actions Mean,expl/Actions Min,expl/Actions Std,expl/Average Returns,expl/Num Paths,expl/Returns Max,expl/Returns Mean,expl/Returns Min,expl/Returns Std,expl/Rewards Max,expl/Rewards Mean,expl/Rewards Min,expl/Rewards Std,expl/num paths total,expl/num steps total,expl/path length Max,expl/path length Mean,expl/path length Min,expl/path length Std,replay_buffer/size,time/data storing (s),time/epoch (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/sac training (s),time/saving (s),time/total (s),time/training (s),trainer/Log Pis Max,trainer/Log Pis Mean,trainer/Log Pis Min,trainer/Log Pis Std,trainer/Policy Loss,trainer/Q Targets Max,trainer/Q Targets Mean,trainer/Q Targets Min,trainer/Q Targets Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Min,trainer/Q1 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Min,trainer/Q2 Predictions Std,trainer/QF1 Loss,trainer/QF2 Loss,trainer/num train calls,trainer/policy/mean Max,trainer/policy/mean Mean,trainer/policy/mean Min,trainer/policy/mean Std,trainer/policy/normal/log_std Max,trainer/policy/normal/log_std Mean,trainer/policy/normal/log_std Min,trainer/policy/normal/log_std Std,trainer/policy/normal/std Max,trainer/policy/normal/std Mean,trainer/policy/normal/std Min,trainer/policy/normal/std Std
0,0,0.005625711,0.00013625046,-0.0016396624,0.00013820869,1002.0785868522631,5,1006.9159894401131,1002.0785868522631,995.3871790824404,4.775122682310492,1.9235822376984255,1.002078586852263,0.18471627568792648,0.04560523432661355,5,5000,1000,1000.0,1000,0.0,0.9989765,0.0010802464,-0.9988614,0.62708074,-94.47205557072503,6,1.6491356911641384,-94.47205557072503,-295.34060637662424,97.42515703347168,2.020103747070074,-0.5668323334243499,-2.7511175370527474,0.7402980608322839,12,2000,532,166.66666666666666,13,173.2615235866162,2000,0.007837850134819746,19.10145078971982,9.158816804178059,1.5846055722795427,0.00955293420702219,7.946558304131031,0.3940371866337955,22.064970013685524,4.213815554976463e-05,-3.5059938,-5.381781,-6.9130907,0.63378537,-5.3825035,7.8473816,4.824394,2.087725,0.9518786,0.012017247,0.0033074168,-0.0042252825,0.0027928066,0.009900453,0.001350265,-0.0035839872,0.0024280979,24.148657,24.167662,1000,0.0058738864,0.00050554896,-0.004551879,0.0011723648,0.005424068,-7.6148e-05,-0.0047543836,0.0012687432,1.0054388,0.99992466,0.9952569,0.0012686498
1,1,0.30836448,-0.011662315,-0.43021244,0.12919274,901.3456389553154,5,907.6607222394935,901.3456389553154,895.2024425544862,4.886042425816233,1.6304967383191766,0.9013456389553154,0.07089521072923177,0.16525530927643592,10,10000,1000,1000.0,1000,0.0,0.9972676,-0.0034005397,-0.9966279,0.5974375,-83.41865475339547,6,8.363880559087047,-83.41865475339547,-271.98181507837904,91.57646016762614,2.0745150588646357,-0.5005119285203729,-3.009046194316122,0.732807035432816,18,3000,603,166.66666666666666,51,197.66441819969072,3000,0.006515255197882652,16.439093748573214,7.480350309982896,1.4804416946135461,0.00944583211094141,7.43644931493327,0.025848249904811382,51.800500713754445,4.309182986617088e-05,-3.2628288,-5.350024,-7.751301,0.5893012,-25.32201,27.961302,20.098475,-2.3670733,3.1135192,27.60995,20.018278,9.072858,2.5578005,26.584578,20.035591,8.85745,2.573623,4.2781334,4.251357,2000,0.4714275,-0.012811287,-0.5247476,0.15134229,-0.050416686,-0.096324064,-0.17511515,0.018928152,0.95083314,0.90833175,0.83936036,0.01709987
2,2,0.7823631,0.01828032,-0.62288904,0.17932208,893.1090065793185,5,904.0130082153236,893.1090065793185,880.1014580414778,7.670556648562576,2.2213158464578213,0.8931090065793184,-0.46127558210467634,0.21762936776036182,15,15000,1000,1000.0,1000,0.0,0.9988777,0.026723964,-0.9987472,0.6172963,-536.043990384438,1,-536.043990384438,-536.043990384438,-536.043990384438,0.0,1.4970109337807165,-0.5360439903844392,-2.6185120796839145,0.5997190790747516,19,4000,1000,1000.0,1000,0.0,4000,0.006442884914577007,16.069119155406952,7.087901184801012,1.4784601498395205,0.009565601125359535,7.461585606448352,0.025121248327195644,80.10908594541252,4.2479950934648514e-05,-2.1047788,-5.1703176,-7.52979,0.8857514,-44.614098,51.493908,39.644463,-1.619484,4.756033,50.066174,39.41159,17.45703,3.9699373,51.54781,39.542557,19.80662,4.0468087,5.8560433,6.572109,3000,0.72041863,0.039484143,-0.69600624,0.22612093,0.00452898,-0.06488295,-0.171785,0.025741246,1.0045393,0.9374865,0.8421602,0.024002148
3,3,0.7879112,0.029605279,-0.8227297,0.228104,805.5566518106544,5,904.1731837264657,805.5566518106544,717.8701163930425,76.48149671053551,2.3636974424533124,0.8055566518106546,-0.7307629813377692,0.31238651868079786,20,20000,1000,1000.0,1000,0.0,0.9993559,0.0035742063,-0.99872994,0.6212747,-49.36899159699154,12,-2.084171479273351,-49.36899159699154,-203.43260594758488,50.16782606101457,3.1921752573657964,-0.5924278991638987,-3.771020180891484,1.0226999826648453,31,5000,205,83.33333333333333,7,64.15779159402405,5000,0.006585866678506136,15.89725824072957,7.008721774909645,1.4649624908342957,0.009348160121589899,7.384459113236517,0.023140545934438705,107.39447292732075,4.02890145778656e-05,-1.6126547,-4.9214582,-7.908059,1.0296007,-62.959736,71.09789,57.55228,-1.7431755,6.28418,72.23403,58.08259,39.293934,5.037805,76.238556,58.3319,39.82978,5.1003556,16.136755,18.919193,4000,0.82971406,0.0230604,-0.80091256,0.27747315,0.041131355,-0.059957303,-0.19298063,0.03302541,1.041989,0.9423172,0.82449794,0.031011881
4,4,0.7768921,0.042101867,-0.72468054,0.29777572,631.1790217527823,5,682.5416758232402,631.1790217527823,586.7421927385745,34.953560144938855,2.068590694147819,0.6311790217527803,-0.6179378311707671,0.1635075799562341,25,25000,1000,1000.0,1000,0.0,0.9979939,0.05401564,-0.9987585,0.63038605,-70.0760346323436,9,0.4004263908187943,-70.0760346323436,-324.4076499376309,97.71103055751679,1.9067543812355232,-0.6306843116910923,-3.2798067469176138,0.7946175952195164,40,6000,524,111.11111111111111,13,150.68174293629934,6000,0.006629131734371185,17.653973444364965,7.6322326748631895,1.5835188790224493,0.00946006877347827,8.399834418669343,0.02224871516227722,137.04199246270582,4.955613985657692e-05,0.5449705,-4.54646,-9.112505,1.4013605,-77.96155,89.1493,73.375534,0.96580243,8.282395,92.023895,73.31125,36.805344,7.269442,90.02022,73.52351,33.978004,7.1565175,16.592304,14.4600115,5000,0.96759474,0.053085096,-0.9373656,0.34117168,0.06917496,-0.061443232,-0.48607522,0.051215556,1.0716237,0.94161814,0.61503553,0.047005083
5,5,0.9349663,-0.048220742,-0.78421724,0.33278173,528.6562679490007,5,609.3057097076982,528.6562679490007,385.1614898522647,80.51716867842792,1.7376805464178982,0.5286562679489998,-1.4315121827280501,0.21268239524592733,30,30000,1000,1000.0,1000,0.0,0.9990368,-0.0054386635,-0.99833274,0.6447733,-54.07891867663093,15,-6.3078497151487545,-54.07891867663093,-259.58229260936844,63.377468087411586,2.056433309754583,-0.8111837801494639,-4.666565490498485,1.0455218150925707,55,7000,189,66.66666666666667,10,54.23733851221767,7000,0.006647090893238783,19.969256005249918,8.36374618113041,1.467631516046822,0.040784894954413176,7.3681013830937445,2.722304700873792,173.817876806017,4.023825749754906e-05,-0.03372383,-4.52633,-9.399813,1.4543686,-91.27841,103.30554,86.12753,-1.8643539,12.400524,104.07277,86.86205,23.97668,9.15975,103.2236,86.611755,23.840672,9.220855,44.037037,40.309757,6000,0.9459048,-0.006881593,-0.92010945,0.37820205,0.079798646,-0.068974316,-0.35252583,0.05387951,1.083069,0.9346882,0.7029104,0.049405377
6,6,0.84752524,0.14071466,-0.88040924,0.32411805,502.55045073000446,5,519.9876704857191,502.55045073000446,481.7316523193071,13.644320116753741,1.5900587419733916,0.5025504507300012,-1.1705358885274721,0.09461138434978383,35,35000,1000,1000.0,1000,0.0,0.9982568,0.032163445,-0.9985684,0.64030623,-92.83685335052743,7,-14.807766061316185,-92.83685335052743,-355.77980648564034,111.97009066638667,2.216834884166989,-0.6498579734536919,-3.425914020099526,0.8716098743668713,62,8000,529,142.85714285714286,13,164.72091425145967,8000,0.0066220820881426334,26.806894428562373,7.603959367144853,1.6463691797107458,0.026007525622844696,8.98382028285414,8.540052972268313,228.12266491539776,6.301887333393097e-05,0.7948475,-4.2309237,-7.322163,1.5582125,-102.27095,122.471756,99.00986,31.966707,10.952808,120.00465,98.33232,49.010574,11.167672,122.78252,98.21332,54.029133,10.905367,24.652426,26.523806,7000,0.90734625,0.046700403,-0.9387412,0.39579532,0.11725307,-0.06566414,-0.37163034,0.062413175,1.124404,0.93824273,0.6896091,0.057290766
7,7,0.9381031,-0.07601139,-0.914738,0.3577694,462.43660702479144,5,647.055941665768,462.43660702479144,259.1337959117564,152.2467831695231,2.01561219318329,0.46243660702479444,-2.1396204694285066,0.26593782381770487,40,40000,1000,1000.0,1000,0.0,0.997758,-0.057209015,-0.9994005,0.64333534,-174.16678610440752,4,-6.466079345696467,-174.16678610440752,-551.8049342737212,220.6527814728808,2.694879682795796,-0.696667144417631,-3.901056280250611,0.7456137663485595,66,9000,793,250.0,19,316.2601777018409,9000,0.006487893871963024,20.494303055107594,7.0380911361426115,1.4789704158902168,0.009350945707410574,7.343834397383034,4.617525104898959,267.4593169889413,4.3161213397979736e-05,2.1568727,-4.197111,-8.517197,1.7440304,-112.93851,133.65564,108.64537,57.305843,14.107062,133.62912,108.78603,68.97097,13.468208,134.8859,109.20358,69.47167,13.699918,36.82179,36.193027,8000,0.92804205,-0.025394084,-0.9319138,0.433728,0.111631714,-0.091507085,-0.48370707,0.071816325,1.118101,0.9148842,0.61649376,0.06472717
8,8,0.9217664,0.0875482,-0.92479455,0.39784673,327.8987638517384,5,447.36908246988537,327.8987638517384,213.85635102466443,90.24133726550265,2.2561868722924325,0.3278987638517383,-1.5477302662917323,0.22445642586233833,45,45000,1000,1000.0,1000,0.0,0.9986928,0.0033753975,-0.99945545,0.63901514,-109.06988549363155,5,-0.812998359508179,-109.06988549363155,-372.3478885797,138.3100742261119,2.3735921360457346,-0.545349427468158,-3.3902286131928827,0.7294327255646305,71,10000,585,200.0,13,212.7890974650722,10000,0.006544698029756546,16.524031698703766,7.510806343052536,1.4829869950190187,0.00940835289657116,7.478280164767057,0.035954244900494814,295.8231010190211,5.0900038331747055e-05,1.2301121,-3.7918966,-9.535805,1.9381642,-119.55556,145.13364,115.03325,-0.008323834,21.152287,145.68042,115.62735,31.76997,18.885824,150.9457,115.769745,38.91619,18.768867,86.07819,93.99647,9000,0.9567425,0.024524707,-0.936295,0.45821553,0.14373147,-0.11454329,-0.50592935,0.08167112,1.154574,0.89471316,0.60294497,0.0718039
9,9,0.96018285,0.092905596,-0.88437736,0.3847798,361.05385726793173,5,574.8734721181756,361.05385726793173,167.924816915584,141.96432374852017,1.7252752527847954,0.3610538572679329,-2.1131060231980543,0.25922051353125974,50,50000,1000,1000.0,1000,0.0,0.99945724,0.08067498,-0.9981414,0.6354752,-687.3128467024791,1,-687.3128467024791,-687.3128467024791,-687.3128467024791,0.0,1.1016834732401704,-0.6873128467024789,-3.1738311346499373,0.6133401929392784,72,11000,1000,1000.0,1000,0.0,11000,0.006678211968392134,16.827468703966588,7.0482686487957835,1.578696341253817,0.009076857008039951,8.16050475742668,0.02419823268428445,358.604396214243,4.565482959151268e-05,0.9857464,-3.7050123,-10.94332,1.8846031,-132.62624,158.37411,128.11095,52.598297,17.64009,159.49149,128.7202,71.920944,17.387808,157.76486,128.7248,67.55224,17.317842,35.089798,34.839596,10000,0.9599265,0.104885146,-0.9195045,0.43877524,0.16328634,-0.12259439,-0.5388105,0.078132965,1.1773738,0.8872862,0.58344185,0.067961566
