Epoch,epoch,eval/Actions Max,eval/Actions Mean,eval/Actions Min,eval/Actions Std,eval/Average Returns,eval/Num Paths,eval/Returns Max,eval/Returns Mean,eval/Returns Min,eval/Returns Std,eval/Rewards Max,eval/Rewards Mean,eval/Rewards Min,eval/Rewards Std,eval/num paths total,eval/num steps total,eval/path length Max,eval/path length Mean,eval/path length Min,eval/path length Std,expl/Actions Max,expl/Actions Mean,expl/Actions Min,expl/Actions Std,expl/Average Returns,expl/Num Paths,expl/Returns Max,expl/Returns Mean,expl/Returns Min,expl/Returns Std,expl/Rewards Max,expl/Rewards Mean,expl/Rewards Min,expl/Rewards Std,expl/num paths total,expl/num steps total,expl/path length Max,expl/path length Mean,expl/path length Min,expl/path length Std,replay_buffer/size,time/data storing (s),time/epoch (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/sac training (s),time/saving (s),time/total (s),time/training (s),trainer/Log Pis Max,trainer/Log Pis Mean,trainer/Log Pis Min,trainer/Log Pis Std,trainer/Policy Loss,trainer/Q Targets Max,trainer/Q Targets Mean,trainer/Q Targets Min,trainer/Q Targets Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Min,trainer/Q1 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Min,trainer/Q2 Predictions Std,trainer/QF1 Loss,trainer/QF2 Loss,trainer/num train calls,trainer/policy/mean Max,trainer/policy/mean Mean,trainer/policy/mean Min,trainer/policy/mean Std,trainer/policy/normal/log_std Max,trainer/policy/normal/log_std Mean,trainer/policy/normal/log_std Min,trainer/policy/normal/log_std Std,trainer/policy/normal/std Max,trainer/policy/normal/std Mean,trainer/policy/normal/std Min,trainer/policy/normal/std Std
0,0,0.0024427238,4.90491e-07,-0.001398691,0.00013209567,-2518.4842873345056,5,-2312.97582124562,-2518.4842873345056,-2893.0468851316527,213.7533641949779,-2.201678027691086,-2.5184842873345077,-2.907387679415426,0.21668177298822666,5,5000,1000,1000.0,1000,0.0,0.9989495,0.00078788947,-0.99886155,0.62711203,-8388.017568932435,1,-8388.017568932435,-8388.017568932435,-8388.017568932435,0.0,-1.40202919999158,-8.388017568932444,-10.444012342767524,2.39804142526727,2,2000,1000,1000.0,1000,0.0,2000,0.00829431926831603,25.390766760334373,10.123001146130264,1.6242570392787457,0.03730401396751404,8.186649474781007,5.4112147078849375,29.252501241397113,4.60590235888958e-05,-3.51622,-5.3802743,-6.9226775,0.63433176,-5.378487,4.6746693,-0.42940181,-5.900388,3.157991,0.0111106,0.0028784485,-0.0016192868,0.002342095,0.0053165164,-0.0017393401,-0.009979154,0.0023116313,10.159961,10.156054,1000,0.0050294767,5.771793e-05,-0.004584598,0.0014717045,0.004434751,9.2100934e-05,-0.004122099,0.0012524619,1.0044446,1.0000929,0.9958864,0.001252662
1,1,0.20532158,0.007060303,-0.22653012,0.09406831,-2501.0154509556437,5,-2282.9398664376695,-2501.0154509556437,-2667.1950323278916,154.64177491386576,-2.2236743786819053,-2.501015450955645,-2.7095602361799935,0.1556668715547146,10,10000,1000,1000.0,1000,0.0,0.9970586,0.009251065,-0.99582756,0.59281397,-3745.3293960995748,1,-3745.3293960995748,-3745.3293960995748,-3745.3293960995748,0.0,-2.1138162662088753,-3.745329396099576,-5.077657991762548,0.5479701311624583,3,3000,1000,1000.0,1000,0.0,3000,0.008359508123248816,16.936828406061977,7.257852319162339,1.569497157819569,0.009296915028244257,8.067003393080086,0.02478061569854617,94.65500720357522,3.849714994430542e-05,-4.142453,-5.4162683,-7.6782126,0.40780437,-8.786819,16.271887,2.7928545,-20.578,13.039345,19.099781,3.4343436,-20.32313,13.583688,18.887459,3.454578,-20.368942,13.616993,1.8427577,1.9495556,2000,0.3259175,0.0056946087,-0.2558838,0.07834382,-0.06138195,-0.11328143,-0.17687382,0.017024396,0.94046396,0.8930286,0.8378855,0.015188536
2,2,0.16653648,-0.0015884222,-0.20243411,0.096338704,-2583.9420837629073,5,-2355.4162846316835,-2583.9420837629073,-2760.8361065201784,147.1620332085559,-2.2303623406651525,-2.5839420837629072,-2.7647245647724823,0.14813067764647994,15,15000,1000,1000.0,1000,0.0,0.9976539,0.0012775887,-0.9978275,0.59405524,-1180.9807489008215,1,-1180.9807489008215,-1180.9807489008215,-1180.9807489008215,0.0,-0.27187206590784446,-1.1809807489008208,-2.9945288346633196,0.39222671924269903,4,4000,1000,1000.0,1000,0.0,4000,0.00824946304783225,20.786113800946623,7.1090010879561305,1.4850991680286825,0.00921601802110672,7.730798274744302,4.443707696162164,171.47631423082203,4.209298640489578e-05,-4.4222336,-5.412504,-6.9109,0.40363157,-12.262455,31.122627,7.3524184,-40.88535,23.300955,30.672018,6.984792,-41.11953,23.168055,30.512676,6.977744,-41.01923,23.165426,1.0544877,1.022082,3000,0.23505306,-0.00066283013,-0.25944963,0.07220318,-0.07869928,-0.12167305,-0.17715165,0.015192076,0.92431784,0.8855399,0.83765274,0.013431345
3,3,0.1117486,-0.009107461,-0.16409226,0.048260547,-2336.1327012036313,5,-2076.2882302854064,-2336.1327012036313,-2583.546206705283,209.08837583512764,-1.9855428778578283,-2.3361327012036335,-2.611449975074592,0.20974776354783192,20,20000,1000,1000.0,1000,0.0,0.99874717,-0.012510114,-0.99747795,0.5844649,-4123.324042295469,1,-4123.324042295469,-4123.324042295469,-4123.324042295469,0.0,-1.7392089884258712,-4.123324042295471,-6.441816215290112,0.7905193441551052,5,5000,1000,1000.0,1000,0.0,5000,0.008357144892215729,20.68610016675666,7.797426341101527,1.6220083869993687,0.013703739270567894,8.034360317979008,3.2102033481933177,251.89448428805918,4.088832065463066e-05,-4.2807665,-5.454961,-7.486364,0.41474912,-19.968025,45.69022,14.468458,-61.696266,32.06526,45.848522,14.639717,-62.1353,32.30203,46.28644,14.711383,-61.973392,32.298183,1.1777424,1.2462956,4000,0.1604519,-0.008450773,-0.18332288,0.05247981,-0.070613146,-0.12567362,-0.17473446,0.015410214,0.9318223,0.88200736,0.83967996,0.013585496
4,4,0.1800925,-0.013279712,-0.19306725,0.06278179,-2196.9679687534576,5,-1980.2673032193352,-2196.9679687534576,-2368.914892181524,132.27653076953612,-1.9655882874967296,-2.196967968753457,-2.603965179039052,0.13547808203486997,25,25000,1000,1000.0,1000,0.0,0.9959425,-0.003059412,-0.9965364,0.5915545,-2860.3781442572194,1,-2860.3781442572194,-2860.3781442572194,-2860.3781442572194,0.0,-1.9631577417667117,-2.8603781442572203,-3.8940724840229195,0.38192249293531666,6,6000,1000,1000.0,1000,0.0,6000,0.00844308827072382,18.719377784989774,8.40502464491874,1.7091312338598073,0.009207029826939106,8.5577254104428,0.029800024814903736,329.2612634715624,4.635285586118698e-05,-4.1432977,-5.424426,-6.6351624,0.4313122,-26.7253,62.392914,21.404282,-83.49885,39.1652,62.305943,21.46267,-83.575966,39.112423,62.16372,21.472126,-83.39359,39.152058,0.772354,0.8111916,5000,0.29238176,-0.006146373,-0.2864981,0.08310055,-0.069600254,-0.12240338,-0.17837566,0.016689062,0.9327666,0.8849145,0.8366281,0.014751647
5,5,0.16116834,-0.007997751,-0.19244982,0.06581638,-2248.5947604537564,5,-2041.3138686187897,-2248.5947604537564,-2479.233702592434,152.12651979542443,-2.0352321680211465,-2.248594760453757,-2.6159848780406603,0.15341565106765084,30,30000,1000,1000.0,1000,0.0,0.9951977,-0.0066109034,-0.9952782,0.59327596,-4582.273983149174,1,-4582.273983149174,-4582.273983149174,-4582.273983149174,0.0,-2.692350767368762,-4.582273983149169,-6.369278638773781,0.7866452601167153,7,7000,1000,1000.0,1000,0.0,7000,0.008359070867300034,16.140009578317404,7.017332390882075,1.4770210031419992,0.009043870959430933,7.604053281713277,0.024155818857252598,400.25265553826466,4.4141896069049835e-05,-4.162579,-5.444741,-7.1616306,0.4811244,-31.77542,79.5805,26.57626,-104.64987,45.09707,78.16116,26.637785,-103.942314,44.910076,78.63881,26.61858,-104.57368,44.990337,1.0512903,1.0231868,6000,0.3450099,-0.0066207377,-0.332186,0.09696948,-0.059123494,-0.12229722,-0.19864926,0.020948296,0.94259036,0.8850793,0.8198374,0.018516745
6,6,0.17158155,-0.01555611,-0.21421297,0.095448874,-2454.168365018965,5,-2217.7472346988557,-2454.168365018965,-2745.6241667894037,174.26689151892856,-2.2115687237341,-2.454168365018966,-2.761921603707452,0.17461725136692036,35,35000,1000,1000.0,1000,0.0,0.9970146,-0.0027955344,-0.9971889,0.5930436,-4054.925851079159,1,-4054.925851079159,-4054.925851079159,-4054.925851079159,0.0,-2.2042107322361875,-4.054925851079165,-5.0076238862121105,0.5797700170277755,8,8000,1000,1000.0,1000,0.0,8000,0.008377733640372753,22.720368750859052,7.6156421061605215,1.5815513711422682,0.009317963849753141,8.824150731321424,4.681286750826985,487.2641850193031,4.20939177274704e-05,-4.0806494,-5.406728,-7.634598,0.5323764,-37.86793,95.79852,32.761642,-123.36479,51.5069,96.08952,32.885956,-124.1532,51.496037,96.13355,32.64973,-125.0701,51.57331,1.1138002,1.0017786,7000,0.46182254,-0.0004216453,-0.50231624,0.113944344,-0.027078189,-0.11538757,-0.18905364,0.023423458,0.97328514,0.8912655,0.8277421,0.02091089
7,7,0.2646961,-0.02336197,-0.27185094,0.119899035,-2404.6730701437305,5,-2105.585587259668,-2404.6730701437305,-2818.99740478366,268.8160987369898,-2.0480394888747706,-2.40467307014373,-2.8846957974563447,0.2692345096791549,40,40000,1000,1000.0,1000,0.0,0.99950475,0.00020620346,-0.9970618,0.59299535,-2635.4439613479954,1,-2635.4439613479954,-2635.4439613479954,-2635.4439613479954,0.0,-0.38251807287233064,-2.6354439613479927,-4.180213332011786,0.7858220992570893,9,9000,1000,1000.0,1000,0.0,9000,0.008291206788271666,19.14895287808031,7.052277947310358,1.4719354594126344,0.026483127381652594,7.938981177285314,2.650937527883798,561.5971199693158,4.64320182800293e-05,-3.505437,-5.387034,-8.210611,0.59714335,-47.34109,136.31813,42.09095,-142.01341,59.686207,138.8999,42.453407,-141.6343,60.1525,139.77101,42.328335,-141.46768,60.01759,2.8724754,2.7617857,8000,0.55211794,0.0029544223,-0.6022891,0.13225427,-0.048331205,-0.12926538,-0.23577693,0.027333438,0.95281816,0.8790686,0.78995687,0.023986522
8,8,0.2660733,-0.034599204,-0.29636157,0.1068949,-2381.5810312267313,5,-2319.980082722869,-2381.5810312267313,-2496.7672275018153,62.508726681399615,-2.214924349243237,-2.381581031226732,-2.5135426600032225,0.06299501309190934,45,45000,1000,1000.0,1000,0.0,0.99804336,-0.01064187,-0.9990163,0.6185316,-6678.395068108392,1,-6678.395068108392,-6678.395068108392,-6678.395068108392,0.0,-2.4795079986460378,-6.678395068108397,-8.164166861747226,0.9324352124828299,10,10000,1000,1000.0,1000,0.0,10000,0.008312144316732883,16.78213058412075,7.077286080922931,1.4817812079563737,0.028268602211028337,7.7233314625918865,0.4631092441268265,637.9959340556525,4.184199497103691e-05,-3.008048,-5.343914,-7.948106,0.6559553,-51.890717,139.25555,47.079494,-155.13943,58.634544,141.68304,47.08023,-157.25983,58.35887,139.18379,46.81147,-155.65453,58.40112,3.436553,2.6382668,9000,0.5097029,-0.008262273,-0.6695024,0.13936089,0.08140773,-0.11734252,-0.2174395,0.039083846,1.0848131,0.8899679,0.8045763,0.03541256
9,9,0.31967556,-0.04509937,-0.3095667,0.13545541,-2348.6709279880024,5,-2191.0717169980276,-2348.6709279880024,-2615.067062178882,179.11315235371572,-2.1830010201419965,-2.348670927988003,-2.6325288363444437,0.1794687577855759,50,50000,1000,1000.0,1000,0.0,0.99811316,0.01461959,-0.99890256,0.5987645,-4865.8623261041885,1,-4865.8623261041885,-4865.8623261041885,-4865.8623261041885,0.0,-2.131703259094723,-4.865862326104189,-5.851563266654818,0.5786137620804046,11,11000,1000,1000.0,1000,0.0,11000,0.008288334123790264,18.031201304867864,7.545278828591108,1.4766918518580496,0.03781658411026001,7.739276468288153,1.2237961352802813,714.9031603615731,5.310261622071266e-05,-2.9454155,-5.3420725,-8.003067,0.67874146,-50.517387,149.54327,45.22248,-176.17828,72.53629,148.88145,45.6242,-174.46762,72.50108,148.10477,45.492302,-176.75284,72.61306,3.0603273,3.0952916,10000,0.52521557,-0.00349749,-0.6848777,0.16004601,-0.0004993732,-0.13255791,-0.25862834,0.03436497,0.99950075,0.87636757,0.7721099,0.02995345
