Epoch,epoch,eval/Actions Max,eval/Actions Mean,eval/Actions Min,eval/Actions Std,eval/Average Returns,eval/Num Paths,eval/Returns Max,eval/Returns Mean,eval/Returns Min,eval/Returns Std,eval/Rewards Max,eval/Rewards Mean,eval/Rewards Min,eval/Rewards Std,eval/num paths total,eval/num steps total,eval/path length Max,eval/path length Mean,eval/path length Min,eval/path length Std,expl/Actions Max,expl/Actions Mean,expl/Actions Min,expl/Actions Std,expl/Average Returns,expl/Num Paths,expl/Returns Max,expl/Returns Mean,expl/Returns Min,expl/Returns Std,expl/Rewards Max,expl/Rewards Mean,expl/Rewards Min,expl/Rewards Std,expl/num paths total,expl/num steps total,expl/path length Max,expl/path length Mean,expl/path length Min,expl/path length Std,replay_buffer/size,time/data storing (s),time/epoch (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/sac training (s),time/saving (s),time/total (s),time/training (s),trainer/Log Pis Max,trainer/Log Pis Mean,trainer/Log Pis Min,trainer/Log Pis Std,trainer/Policy Loss,trainer/Q Targets Max,trainer/Q Targets Mean,trainer/Q Targets Min,trainer/Q Targets Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Min,trainer/Q1 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Min,trainer/Q2 Predictions Std,trainer/QF1 Loss,trainer/QF2 Loss,trainer/num train calls,trainer/policy/mean Max,trainer/policy/mean Mean,trainer/policy/mean Min,trainer/policy/mean Std,trainer/policy/normal/log_std Max,trainer/policy/normal/log_std Mean,trainer/policy/normal/log_std Min,trainer/policy/normal/log_std Std,trainer/policy/normal/std Max,trainer/policy/normal/std Mean,trainer/policy/normal/std Min,trainer/policy/normal/std Std
0,0,0.00085663935,-1.290043e-05,-0.00056645443,4.0620875e-05,-0.3827220219154326,5,0.35199505538128256,-0.3827220219154326,-0.9691611120417969,0.4956165901271494,0.2612162305441846,-0.0003827220219154316,-0.29233627867444817,0.014107980174010076,5,5000,1000,1000.0,1000,0.0,0.99852973,-0.0015674032,-0.9988617,0.62623674,-147.56280004381216,1,-147.56280004381216,-147.56280004381216,-147.56280004381216,0.0,2.5124933064996617,-0.14756280004381211,-2.2331108988097927,0.5804178007109028,2,2000,1000,1000.0,1000,0.0,2000,0.006520591210573912,13.31756734708324,5.1892827386036515,0.9169817981310189,0.009384708944708109,7.163293417543173,0.03206410072743893,16.235103195067495,3.999192267656326e-05,-2.5494556,-4.019229,-5.273134,0.53628063,-4.016787,5.9554615,3.915691,1.7125766,0.7354075,0.010059288,0.00010903329,-0.010969762,0.002828004,0.0047018575,-0.0015851595,-0.008725241,0.002440884,15.872537,15.885644,1000,0.0051988713,0.00017924262,-0.0056562866,0.0016197467,0.0055591036,0.00027368194,-0.0044578584,0.0015730868,1.0055746,1.000275,0.99555206,0.001573577
1,1,0.22344737,0.023844011,-0.08649682,0.065880395,-1.5895408798477269,5,-1.3255361614598065,-1.5895408798477269,-1.9705331499340228,0.24105390446153652,0.48416175132326705,-0.0015895408798477226,-0.3711801168202272,0.021296294409168744,10,10000,1000,1000.0,1000,0.0,0.9975801,0.07397789,-0.9959086,0.5987616,-159.52873136599953,1,-159.52873136599953,-159.52873136599953,-159.52873136599953,0.0,1.703247699080419,-0.1595287313659997,-2.2361651828424582,0.614985655245208,3,3000,1000,1000.0,1000,0.0,3000,0.006484047044068575,12.229768794961274,4.046563583891839,0.9230816410854459,0.009393663611263037,7.217822380363941,0.02638027397915721,35.897545527201146,4.3204985558986664e-05,-1.1450877,-3.9139442,-5.252589,0.5829697,-20.529617,20.50773,16.440054,10.624959,1.7060325,22.2171,16.606548,9.839798,1.8743285,22.129082,16.605034,9.9991865,1.8701422,0.8090391,0.8743464,2000,0.6303432,0.028643005,-0.3401942,0.15469587,-0.058875266,-0.11649946,-0.23428348,0.025057321,0.94282436,0.89030766,0.7911375,0.022034192
2,2,0.25971392,0.045086544,-0.055460084,0.057517868,-1.7319576653684887,5,-1.5351504477332456,-1.7319576653684887,-2.290548599509072,0.28174740037771523,0.24752323243539479,-0.0017319576653684926,-0.38013722719202203,0.016179753860234087,15,15000,1000,1000.0,1000,0.0,0.99829817,0.015390359,-0.99782705,0.5966564,-215.99853726970136,1,-215.99853726970136,-215.99853726970136,-215.99853726970136,0.0,1.7537516611799797,-0.21599853726970117,-2.3938398755636388,0.6828423417035105,4,4000,1000,1000.0,1000,0.0,4000,0.006539653055369854,12.464839253108948,4.057177418842912,0.9252184540964663,0.009385835379362106,7.423764199018478,0.0427050469443202,56.780055097304285,4.864577203989029e-05,-2.5961876,-4.040532,-5.0907965,0.41110688,-37.14916,42.194233,33.09373,25.490404,2.4818678,42.0426,33.20094,26.55334,2.4009862,40.94141,33.195705,26.886513,2.4022555,0.7850605,0.7887262,3000,0.43957543,0.025889961,-0.3345069,0.086970046,-0.058974653,-0.103673525,-0.16324718,0.01653755,0.94273067,0.9016426,0.8493812,0.014873702
3,3,0.3301851,0.05634691,-0.12890312,0.08243774,-2.7182936705562484,5,-0.5718008011671776,-2.7182936705562484,-4.09344658299938,1.1843243103235472,0.4578694401763519,-0.002718293670556246,-0.4387599944368812,0.026907292720373933,20,20000,1000,1000.0,1000,0.0,0.9980597,0.012877578,-0.99848866,0.5948574,-123.61544772264958,1,-123.61544772264958,-123.61544772264958,-123.61544772264958,0.0,1.8790257518784603,-0.12361544772264955,-2.201718342665791,0.6249447227764834,5,5000,1000,1000.0,1000,0.0,5000,0.006501924712210894,12.159124266821891,4.039767309091985,0.9263432091102004,0.009216662961989641,7.150331967975944,0.026919962838292122,77.11393717303872,4.323013126850128e-05,-2.232462,-4.0791078,-5.4581895,0.47348127,-53.15078,61.011635,49.283722,40.187496,2.978225,59.46311,49.227432,40.598564,2.817863,59.414833,49.262527,40.357956,2.8456104,0.8330293,0.84171385,4000,0.53368753,0.039734628,-0.36229625,0.11167319,-0.052823618,-0.09883624,-0.17572619,0.018882394,0.9485473,0.9060521,0.83884764,0.01704637
4,4,0.27959546,0.032197725,-0.24446417,0.10929677,-3.7571425573624353,5,-1.2647531034137076,-3.7571425573624353,-5.226652251376672,1.3355970884087085,0.5956733177643396,-0.0037571425573624316,-0.4523475226969669,0.025723390890933756,25,25000,1000,1000.0,1000,0.0,0.99752736,0.00082428294,-0.99664366,0.59642804,-65.56505520017217,1,-65.56505520017217,-65.56505520017217,-65.56505520017217,0.0,1.9904779685970446,-0.06556505520017222,-2.4169577570592917,0.6457880321119301,6,6000,1000,1000.0,1000,0.0,6000,0.006507011130452156,12.14310191385448,4.031018350273371,0.9250539648346603,0.00922435987740755,7.146439502481371,0.024818272329866886,96.27830701554194,4.0452927350997925e-05,-2.3277292,-4.073935,-6.119602,0.4595196,-68.231285,74.27742,64.40524,55.355236,3.153154,73.14131,64.35092,55.015015,2.923174,74.00596,64.481094,55.754845,2.9674323,0.9280107,1.0056157,5000,0.5043551,0.027872825,-0.37800655,0.122193694,-0.051093057,-0.10476419,-0.18062529,0.018336028,0.95019025,0.90068775,0.8347481,0.016440306
5,5,0.42032474,0.053088162,-0.27583444,0.12985559,-5.0971602689377224,5,-3.6501851626681656,-5.0971602689377224,-6.348528854584477,1.129229553132823,0.5207524850955776,-0.005097160268937714,-0.46213712544707,0.0302897072753236,30,30000,1000,1000.0,1000,0.0,0.99655217,0.02161851,-0.9961819,0.6064606,-185.26293484885807,1,-185.26293484885807,-185.26293484885807,-185.26293484885807,0.0,2.230626517473597,-0.1852629348488579,-2.504831892277814,0.7064174385812813,7,7000,1000,1000.0,1000,0.0,7000,0.006514301057904959,12.26008339971304,4.079254522919655,0.927308838814497,0.009149081073701382,7.207575828302652,0.030206800438463688,115.77352583734319,7.402710616588593e-05,-1.8042002,-4.0079317,-5.5520873,0.5399542,-82.4288,89.32914,78.72616,68.54156,3.4280899,88.87365,78.686806,67.54926,3.341939,88.82321,78.87149,68.766495,3.301353,1.1214491,1.0995536,6000,0.5548434,0.02160992,-0.42671412,0.12988123,-0.035875473,-0.09706394,-0.1735113,0.01854572,0.9647604,0.9076538,0.84070766,0.016786402
6,6,0.48835194,0.07415131,-0.2949417,0.15541433,-8.61654122961274,5,-7.729714913789098,-8.61654122961274,-9.591307669499647,0.7309752481726371,0.6782300488224783,-0.00861654122961273,-0.5554669130536528,0.03986030972078223,35,35000,1000,1000.0,1000,0.0,0.9971042,0.010721405,-0.9974414,0.6020869,-130.03238821461832,1,-130.03238821461832,-130.03238821461832,-130.03238821461832,0.0,1.8218221726286234,-0.13003238821461838,-2.0567973742881365,0.5974697587568149,8,8000,1000,1000.0,1000,0.0,8000,0.006561884190887213,12.186989469919354,4.036822411231697,0.923236345872283,0.009234605822712183,7.181355502922088,0.029737339820712805,135.27625581575558,4.1380058974027634e-05,-1.6074018,-4.0356474,-6.5709906,0.56535137,-96.61794,103.16317,92.7147,79.44614,3.4410865,102.36104,92.80369,80.3214,3.320073,102.016846,92.88063,80.20164,3.378213,1.1872892,1.2995867,7000,0.5784582,0.022139058,-0.45728937,0.1438564,-0.024875034,-0.09122812,-0.17262553,0.02170273,0.9754318,0.9130244,0.84145266,0.019804256
7,7,0.47056976,0.06638156,-0.29527766,0.14399293,-7.044287185680105,5,-6.428126292334229,-7.044287185680105,-7.649506146875792,0.4059964650437996,0.5226796328196476,-0.007044287185680103,-0.6957713719511535,0.03471186072863235,40,40000,1000,1000.0,1000,0.0,0.99912524,0.005483528,-0.99824274,0.60232943,-79.95550296872803,1,-79.95550296872803,-79.95550296872803,-79.95550296872803,0.0,2.389495791975683,-0.07995550296872798,-2.2123016182424964,0.6424765427077532,9,9000,1000,1000.0,1000,0.0,9000,0.00647517666220665,12.249438674654812,4.15999651607126,0.9282714021392167,0.009377318900078535,7.120035739149898,0.025241760071367025,155.59307624353096,4.0761660784482956e-05,-2.1212177,-3.914008,-5.5681133,0.53695065,-109.49945,117.364685,105.62015,94.56385,3.217552,117.79815,105.860695,94.77883,3.1876175,118.22925,105.69247,94.819496,3.224479,1.4001472,1.3294834,8000,0.5404781,0.013939557,-0.5317484,0.15394734,-0.026216842,-0.09681445,-0.19874988,0.021888189,0.97412384,0.9079415,0.8197549,0.019822158
8,8,0.47648925,0.07958661,-0.33606192,0.1204146,-5.902613822394818,5,-1.2860269984387438,-5.902613822394818,-8.24808384166242,2.4381422741927508,0.8106389430958794,-0.005902613822394816,-1.2766491613782909,0.06262970338121339,45,45000,1000,1000.0,1000,0.0,0.99458915,-0.04013426,-0.99823856,0.6031084,68.46457661945112,1,68.46457661945112,68.46457661945112,68.46457661945112,0.0,2.4570089881550645,0.06846457661945116,-1.8193272880755622,0.6828900311913644,10,10000,1000,1000.0,1000,0.0,10000,0.011776947882026434,12.386789164505899,4.087372025940567,0.956550985109061,0.009233049117028713,7.296194509603083,0.025620126631110907,176.32994969608262,4.152022302150726e-05,-2.1586208,-3.9636493,-5.4260173,0.5756238,-121.07448,133.85117,117.51532,106.70118,4.310225,135.69604,117.32216,105.73077,4.5124807,134.14134,117.45585,106.31738,4.25617,1.6556602,1.4751337,9000,0.7047571,-0.001609035,-0.6984816,0.16148211,-0.024690205,-0.09353888,-0.21507524,0.023320913,0.9756121,0.9109497,0.80648077,0.021176033
9,9,0.37967497,0.06745504,-0.2522483,0.12149407,-5.1169752312402705,5,-3.2999741207132787,-5.1169752312402705,-7.660672176009019,1.5687571522406172,0.5745286817020924,-0.005116975231240267,-0.5891863356999827,0.04999961487731523,50,50000,1000,1000.0,1000,0.0,0.9987134,0.0031510785,-0.9965768,0.60296965,-170.67874926020178,1,-170.67874926020178,-170.67874926020178,-170.67874926020178,0.0,1.7162453127658386,-0.17067874926020182,-2.052278972150053,0.5883795640864737,11,11000,1000,1000.0,1000,0.0,11000,0.0064917877316474915,12.16675752820447,4.049165909178555,0.9306818372569978,0.009500444866716862,7.1446818290278316,0.02619532309472561,196.85026297857985,4.0397047996520996e-05,-1.6742053,-3.9573786,-5.137059,0.55132794,-133.54782,145.7691,129.42569,115.38053,4.545375,144.5017,129.80798,115.37847,4.5193787,144.58363,129.88318,116.62243,4.5683465,1.7792985,1.9083906,10000,0.46197078,0.009649257,-0.6680155,0.15483125,-0.03157453,-0.10129803,-0.19105388,0.021425257,0.96891874,0.9038704,0.8260881,0.0192757
