Epoch,epoch,eval/Actions Max,eval/Actions Mean,eval/Actions Min,eval/Actions Std,eval/Average Returns,eval/Num Paths,eval/Returns Max,eval/Returns Mean,eval/Returns Min,eval/Returns Std,eval/Rewards Max,eval/Rewards Mean,eval/Rewards Min,eval/Rewards Std,eval/num paths total,eval/num steps total,eval/path length Max,eval/path length Mean,eval/path length Min,eval/path length Std,expl/Actions Max,expl/Actions Mean,expl/Actions Min,expl/Actions Std,expl/Average Returns,expl/Num Paths,expl/Returns Max,expl/Returns Mean,expl/Returns Min,expl/Returns Std,expl/Rewards Max,expl/Rewards Mean,expl/Rewards Min,expl/Rewards Std,expl/num paths total,expl/num steps total,expl/path length Max,expl/path length Mean,expl/path length Min,expl/path length Std,replay_buffer/size,time/data storing (s),time/epoch (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/sac training (s),time/saving (s),time/total (s),time/training (s),trainer/Log Pis Max,trainer/Log Pis Mean,trainer/Log Pis Min,trainer/Log Pis Std,trainer/Policy Loss,trainer/Q Targets Max,trainer/Q Targets Mean,trainer/Q Targets Min,trainer/Q Targets Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Min,trainer/Q1 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Min,trainer/Q2 Predictions Std,trainer/QF1 Loss,trainer/QF2 Loss,trainer/num train calls,trainer/policy/mean Max,trainer/policy/mean Mean,trainer/policy/mean Min,trainer/policy/mean Std,trainer/policy/normal/log_std Max,trainer/policy/normal/log_std Mean,trainer/policy/normal/log_std Min,trainer/policy/normal/log_std Std,trainer/policy/normal/std Max,trainer/policy/normal/std Mean,trainer/policy/normal/std Min,trainer/policy/normal/std Std
0,0,0.0007379106,-1.2221292e-05,-0.00068439497,3.9264683e-05,-785.6567799229248,5,-785.0079396923697,-785.6567799229248,-786.3427298580154,0.5211587307315501,-0.43421136412226774,-0.7856567799229235,-0.9744251489614395,0.01270196821387118,5,5000,1000,1000.0,1000,0.0,0.9985319,-0.001583182,-0.99886036,0.62623113,-1053.0645563654853,1,-1053.0645563654853,-1053.0645563654853,-1053.0645563654853,0.0,-0.04900883060830095,-1.0530645563654848,-3.418849237952398,0.6483928890174663,2,2000,1000,1000.0,1000,0.0,2000,0.007745382841676474,14.754184532910585,5.954402593895793,1.1040569855831563,0.009071994107216597,7.641073647886515,0.03779351431876421,17.801081056706607,4.041427746415138e-05,-2.54354,-4.019741,-5.2714267,0.5359906,-4.016881,5.1017265,2.8939915,-0.9285364,0.8331358,0.007506476,-0.00054968125,-0.009085093,0.0028539917,0.005988375,-0.0016160342,-0.00858744,0.0026083256,9.07232,9.078328,1000,0.0052140267,0.00020245164,-0.0056354054,0.0015521381,0.0065841405,0.00018199453,-0.0045541357,0.001554597,1.0066059,1.0001832,0.9954562,0.0015551152
1,1,0.22653028,0.074198544,-0.04487191,0.06783527,-789.7622164142153,5,-789.0025659560101,-789.7622164142153,-791.0669945635589,0.7587211234875914,-0.4058079378124852,-0.789762216414212,-1.201361244579394,0.017915028997096155,10,10000,1000,1000.0,1000,0.0,0.997267,0.036803596,-0.99589974,0.592905,-1000.5104022961475,1,-1000.5104022961475,-1000.5104022961475,-1000.5104022961475,0.0,-0.0743336203926677,-1.0005104022961488,-2.9246312279322706,0.5571575220115882,3,3000,1000,1000.0,1000,0.0,3000,0.006448112893849611,12.913464130368084,4.541080323047936,0.9242813419550657,0.009427022654563189,7.404329294338822,0.027855256106704473,39.6407764707692,4.277937114238739e-05,-2.9987192,-4.055963,-5.451944,0.3758799,-16.012745,16.207884,12.024518,7.509268,1.4171692,15.922608,12.0087385,7.5821524,1.3016447,16.080471,11.979021,7.3079276,1.3221787,0.47363114,0.47888094,2000,0.27731112,0.044921968,-0.19852188,0.07699241,-0.059932914,-0.10698455,-0.15507938,0.016628819,0.9418277,0.8986637,0.8563472,0.014923324
2,2,0.18106082,0.06616374,-0.030405337,0.04072589,-788.2339431315484,5,-787.3533753030418,-788.2339431315484,-790.2779531095096,1.0455746537800599,-0.4917177655604631,-0.7882339431315526,-1.2753751148755281,0.018151109128208026,15,15000,1000,1000.0,1000,0.0,0.9975698,-0.0040822746,-0.99806947,0.5913048,-894.6207462777074,1,-894.6207462777074,-894.6207462777074,-894.6207462777074,0.0,-0.06834695637438774,-0.8946207462777079,-2.7715228215009002,0.4974371041266465,4,4000,1000,1000.0,1000,0.0,4000,0.006525570061057806,13.993242760188878,4.585113191045821,1.0855046841315925,0.04954135185107589,7.484365471173078,0.7821516068652272,60.9622613331303,4.088506102561951e-05,-2.9527397,-4.051186,-5.224602,0.3621217,-28.387857,30.768011,24.472357,17.684216,2.169709,31.193342,24.501892,17.713568,2.2326646,31.258963,24.437002,17.869225,2.190303,0.8601475,0.791857,3000,0.28788117,0.03971159,-0.19706476,0.071805306,-0.06938467,-0.11140803,-0.19007806,0.017750522,0.9329677,0.89471406,0.8268946,0.015785687
3,3,0.2968091,0.07921182,-0.051059227,0.06334017,-789.0580804007893,5,-788.3752537362609,-789.0580804007893,-789.5532272331236,0.491452083008485,-0.47990751996579656,-0.7890580804007876,-1.2214223726808526,0.02315315665911413,20,20000,1000,1000.0,1000,0.0,0.9982284,0.012188385,-0.99754894,0.59207517,-914.2616729948783,1,-914.2616729948783,-914.2616729948783,-914.2616729948783,0.0,-0.043688491031126625,-0.9142616729948784,-3.4196008961245274,0.5728280135989737,5,5000,1000,1000.0,1000,0.0,5000,0.006432554218918085,13.535436941776425,4.733125138096511,1.044982012361288,0.037261353339999914,7.4344417671673,0.2791043296456337,82.87859619408846,8.978694677352905e-05,-2.8915892,-4.034168,-5.6471014,0.38655984,-40.74366,44.809193,36.8255,27.62236,2.7304742,45.244396,36.843193,27.515965,2.571442,45.559525,36.94179,27.326185,2.5924144,0.7549564,0.801311,4000,0.3812261,0.039719287,-0.25208345,0.087057546,-0.059649244,-0.10877162,-0.1706632,0.016077472,0.9420949,0.8970509,0.8431055,0.014388546
4,4,0.32691404,0.083324105,-0.10616319,0.07825524,-789.0446789980895,5,-787.414166181377,-789.0446789980895,-791.0908308914836,1.4025978923908138,-0.32768965593821187,-0.7890446789980878,-1.1848506661022393,0.024109983358471886,25,25000,1000,1000.0,1000,0.0,0.99624354,0.01915917,-0.99686635,0.5949566,-917.3473341457563,1,-917.3473341457563,-917.3473341457563,-917.3473341457563,0.0,-0.04196758494246624,-0.9173473341457572,-2.6118104597075362,0.5018582853694682,6,6000,1000,1000.0,1000,0.0,6000,0.006455682218074799,13.429432255681604,4.588705867063254,1.0725489449687302,0.009041954763233662,7.707358000334352,0.045275095384567976,104.54316771635786,4.671094939112663e-05,-2.1210222,-4.0543227,-5.3409157,0.4633477,-52.818634,57.960712,48.868984,38.139984,3.0449185,57.569523,48.90458,38.26836,2.9962654,57.141052,48.924133,38.245827,2.9329565,0.8682593,0.8444276,5000,0.47439414,0.037740752,-0.3688193,0.118847355,-0.06395574,-0.11860008,-0.20113617,0.021883791,0.9380465,0.8883748,0.81780106,0.019328892
5,5,0.3456614,0.10348578,-0.13283469,0.09492737,-792.0945625709788,5,-790.9725940138642,-792.0945625709788,-793.5046595185005,0.8813041726978342,-0.4785556541933883,-0.7920945625709741,-1.1713300601226089,0.02244252498182465,30,30000,1000,1000.0,1000,0.0,0.9964622,0.009095281,-0.99466246,0.59516037,-873.7345840322716,1,-873.7345840322716,-873.7345840322716,-873.7345840322716,0.0,-0.06399056991203692,-0.8737345840322722,-2.741712057552315,0.5199901202912216,7,7000,1000,1000.0,1000,0.0,7000,0.006545647047460079,13.693948530126363,4.612111990805715,1.0938948327675462,0.009675691835582256,7.946366387885064,0.025310697965323925,126.14900355273858,4.328181967139244e-05,-2.4150348,-4.032318,-5.9030523,0.5117356,-63.92052,67.81695,60.15462,46.59646,3.4914076,68.25685,60.118317,46.93918,3.3651626,69.2251,60.166725,47.225967,3.430747,1.0047019,0.95154566,6000,0.6100137,0.03163141,-0.43485662,0.13295777,-0.054409772,-0.11703628,-0.19286007,0.024122523,0.94704396,0.8898111,0.82459736,0.021386946
6,6,0.36175042,0.11628981,-0.080552,0.071661435,-791.3634732785167,5,-790.6213232518787,-791.3634732785167,-792.7481942440971,0.749424186906492,-0.5263000230663797,-0.7913634732785161,-1.154487669022015,0.018735240839560567,35,35000,1000,1000.0,1000,0.0,0.9962262,0.0022167366,-0.99783635,0.599142,-959.9725034242767,1,-959.9725034242767,-959.9725034242767,-959.9725034242767,0.0,-0.0643002952175747,-0.9599725034242774,-2.5635347067435084,0.5114195117766258,8,8000,1000,1000.0,1000,0.0,8000,0.006467555183917284,14.120603777468204,4.579696014057845,1.0842768540605903,0.014810057822614908,7.317591710481793,1.117716623004526,148.16887470008805,4.496285691857338e-05,-2.1917686,-4.0185375,-6.489024,0.5266285,-73.981285,79.68004,70.49322,57.844906,3.6143985,79.07876,70.138306,58.861343,3.4712415,79.80718,70.217575,58.720375,3.4877193,1.128899,1.1441154,7000,0.6661612,0.019567141,-0.47100794,0.14223094,-0.02642111,-0.1068095,-0.19013508,0.021719132,0.9739249,0.8989086,0.82684743,0.019497393
7,7,0.35192037,0.10859689,-0.09207243,0.07589479,-790.4960943863432,5,-789.9014850298179,-790.4960943863432,-791.0593371356483,0.4977378749476454,-0.4445169103343771,-0.7904960943863473,-1.0234319392310676,0.01883955400293605,40,40000,1000,1000.0,1000,0.0,0.99904555,0.0021126189,-0.99805176,0.59922796,-948.5071916584757,1,-948.5071916584757,-948.5071916584757,-948.5071916584757,0.0,-0.0327494725299927,-0.9485071916584746,-2.66116401162437,0.5292977357525874,9,9000,1000,1000.0,1000,0.0,9000,0.006409145426005125,13.8885587034747,4.5854820930399,1.0758823659271002,0.009263292886316776,7.349838175345212,0.8616368169896305,169.757777096238,4.681386053562164e-05,-2.5389953,-3.946684,-5.7947483,0.5172761,-84.36984,92.49021,80.65741,65.29618,3.5463948,92.0147,80.64177,68.245316,3.4354553,92.67051,80.60362,69.08684,3.485485,1.2749331,1.5541238,8000,0.507766,-0.0003674437,-0.5004739,0.14085269,-0.03347406,-0.11359028,-0.20421618,0.023499543,0.96708,0.8928692,0.8152861,0.02086688
8,8,0.34402487,0.14114803,-0.14547014,0.04710927,-792.3050461221945,5,-789.9814259703808,-792.3050461221945,-793.5314022094113,1.2446661704866124,-0.3630233924732963,-0.7923050461222014,-1.0255273760506218,0.018975334732176507,45,45000,1000,1000.0,1000,0.0,0.9962278,-0.009093772,-0.99821967,0.59526426,-835.4159474072073,1,-835.4159474072073,-835.4159474072073,-835.4159474072073,0.0,-0.06886465400159021,-0.8354159474072067,-2.8253134791586625,0.4808357197795211,10,10000,1000,1000.0,1000,0.0,10000,0.0064106229692697525,14.171120628714561,4.590961745008826,1.0931622721254826,0.009205321315675974,7.966451803222299,0.5048890332691371,197.20293401787058,3.9830803871154785e-05,-2.1720657,-3.9908996,-5.5669737,0.5491484,-94.3682,106.49085,90.88926,74.683685,4.470804,111.49457,90.75305,76.55508,4.512249,106.86109,90.62929,75.58655,4.4097624,1.596524,1.4419315,9000,0.608871,0.011176042,-0.49197793,0.14730534,-0.047116354,-0.11285619,-0.23190592,0.024429863,0.9539764,0.8935447,0.7930207,0.021697354
9,9,0.4249807,0.14108777,-0.13882656,0.07961028,-793.2834338570308,5,-792.2470592668179,-793.2834338570308,-794.0229518003338,0.6196876722231766,-0.352531243126593,-0.7932834338570339,-1.1435064238758321,0.019744861375075355,50,50000,1000,1000.0,1000,0.0,0.9977942,0.008988851,-0.99439776,0.59888995,-857.5483083985772,1,-857.5483083985772,-857.5483083985772,-857.5483083985772,0.0,-0.044611661591703516,-0.8575483083985775,-3.4132391820679424,0.5228124611959034,11,11000,1000,1000.0,1000,0.0,11000,0.006448492873460054,14.642896173056215,4.105466592125595,1.0390382315963507,0.009196260012686253,8.251996506471187,1.230710384901613,223.43297765310854,3.9705075323581696e-05,-1.9632874,-3.9780364,-5.5859337,0.5555083,-103.45615,114.59101,99.76108,87.09681,4.560698,114.57685,99.88086,86.868904,4.386245,113.45222,99.68907,86.80818,4.354653,0.9643315,1.0871961,10000,0.6384921,0.022209331,-0.50014746,0.14983651,-0.03691574,-0.116773486,-0.21572945,0.025697151,0.96375734,0.89008003,0.8059533,0.022817185
